datetime,open,high,low,close,volume
2021-01-01,736.14,748.9,714.41,729.02,17759.21276093
2021-01-02,729.03,787.04,715.0,774.64,39674.44154917
2021-01-03,774.62,1010.83,769.01,978.2,100472.8475205
2021-01-04,978.39,1161.3,880.0,1041.9,163399.42223107
2021-01-05,1041.52,1134.33,964.86,1099.92,105759.85571193
2021-01-06,1099.35,1212.4,1056.89,1208.65,79136.39686092
2021-01-07,1208.97,1289.0,1096.0,1224.42,72548.79473415
2021-01-08,1224.36,1273.06,1063.0,1216.29,91843.52831087
2021-01-09,1216.94,1302.5,1171.89,1276.53,47493.64130405
2021-01-10,1276.54,1348.0,1110.0,1254.76,74717.60042627
2021-01-11,1254.42,1259.75,915.01,1087.17,174415.48706474
2021-01-12,1086.79,1149.83,1001.0,1049.86,84126.73922214
2021-01-13,1050.48,1137.0,986.0,1129.75,67791.33016016
2021-01-14,1129.76,1247.12,1087.22,1232.03,52633.3745966
2021-01-15,1232.35,1256.3,1050.0,1168.54,57791.93556538
2021-01-16,1168.32,1293.39,1151.08,1227.68,53631.59572218
2021-01-17,1227.56,1269.08,1165.56,1232.34,50479.94083083
2021-01-18,1232.49,1260.36,1182.77,1258.34,37593.40277969
2021-01-19,1258.35,1437.9,1252.16,1366.0,76009.22110317
2021-01-20,1367.11,1407.46,1234.94,1377.29,68551.47924722
2021-01-21,1376.92,1388.8,1082.88,1111.89,101547.39200351
2021-01-22,1111.89,1273.08,1040.0,1232.89,86739.40850826
2021-01-23,1232.74,1272.15,1194.0,1233.58,34840.49037884
2021-01-24,1233.55,1398.8,1220.18,1391.97,54077.75980169
2021-01-25,1391.4,1474.65,1294.05,1318.4,72820.36689117
2021-01-26,1318.01,1377.79,1240.0,1366.45,63740.86561248
2021-01-27,1366.04,1374.0,1206.2,1238.01,55493.74811693
2021-01-28,1238.1,1360.0,1214.0,1329.24,40505.06263081
2021-01-29,1329.5,1436.33,1285.84,1379.03,80665.50358375
2021-01-30,1379.49,1408.48,1326.24,1378.02,32414.32634966
2021-01-31,1378.37,1380.3,1280.34,1312.51,26728.53800149
2021-02-01,1312.51,1377.51,1270.0,1374.29,39156.4231262
2021-02-02,1374.46,1547.92,1361.06,1512.43,68765.69829601
2021-02-03,1512.42,1669.73,1508.07,1665.02,55709.1111423
2021-02-04,1665.01,1695.6,1556.46,1595.73,65041.53190348
2021-02-05,1595.32,1760.27,1591.24,1718.72,44352.87764502
2021-02-06,1719.1,1743.47,1645.01,1676.48,40875.48558424
2021-02-07,1676.91,1692.45,1485.0,1611.61,40468.51251415
2021-02-08,1611.6,1777.51,1564.33,1750.0,51568.45467851
2021-02-09,1750.19,1820.12,1707.0,1769.45,49683.53561244
2021-02-10,1769.37,1837.38,1680.0,1741.88,50737.51895707
2021-02-11,1741.25,1818.39,1703.74,1786.41,34827.90996039
2021-02-12,1786.22,1863.16,1732.14,1840.73,40089.61112704
2021-02-13,1840.46,1871.61,1765.0,1815.35,29562.68175497
2021-02-14,1814.97,1850.0,1785.0,1801.04,25373.19374629
2021-02-15,1801.18,1836.43,1600.0,1778.71,47052.86636365
2021-02-16,1778.94,1827.85,1724.25,1781.67,30521.23943141
2021-02-17,1781.67,1862.81,1732.72,1849.61,36391.43426659
2021-02-18,1849.85,1949.97,1849.85,1939.06,34972.07369571
2021-02-19,1939.33,1978.0,1883.87,1955.12,35214.57307635
2021-02-20,1955.53,2041.54,1799.74,1913.51,59607.37875512
2021-02-21,1913.57,2035.14,1857.0,1933.38,44714.76058406
2021-02-22,1933.4,1936.54,1508.01,1777.02,106154.93628881
2021-02-23,1777.09,1781.59,1353.06,1577.52,147761.87587315
2021-02-24,1577.55,1712.48,1500.0,1623.45,69750.95872058
2021-02-25,1623.64,1671.04,1458.65,1481.91,48061.92545102
2021-02-26,1481.91,1561.58,1400.0,1444.37,63049.17046307
2021-02-27,1444.6,1528.07,1421.11,1459.14,42308.38122786
2021-02-28,1458.18,1468.35,1293.0,1419.03,61000.15188991
2021-03-01,1419.12,1572.13,1409.93,1570.64,41401.39374889
2021-03-02,1570.56,1602.63,1448.0,1487.13,49297.62945805
2021-03-03,1487.15,1655.84,1475.77,1567.39,33632.59414174
2021-03-04,1567.69,1624.24,1505.0,1538.89,41143.32329031
2021-03-05,1539.91,1548.27,1440.0,1528.19,36849.19773727
2021-03-06,1528.2,1675.87,1513.21,1650.56,44137.77523223
2021-03-07,1650.89,1734.0,1630.9,1726.49,37631.91487788
2021-03-08,1726.45,1842.46,1665.0,1833.03,47911.54978716
2021-03-09,1833.66,1870.2,1796.7,1870.2,43391.47597468
2021-03-10,1870.29,1881.5,1752.0,1795.44,55191.09768391
2021-03-11,1794.7,1846.0,1724.51,1825.57,41100.94163482
2021-03-12,1825.49,1841.54,1721.17,1766.67,41637.86180629
2021-03-13,1765.85,1943.67,1728.69,1921.81,46667.00471008
2021-03-14,1921.81,1937.93,1837.0,1848.52,37847.02688393
2021-03-15,1847.96,1891.16,1731.7,1794.2,59258.81255345
2021-03-16,1793.81,1818.5,1710.0,1803.94,67960.97529009
2021-03-17,1804.42,1839.35,1741.74,1822.76,41047.07806456
2021-03-18,1823.17,1849.54,1757.76,1776.02,37334.55646112
2021-03-19,1776.02,1840.0,1733.6,1809.39,31814.48031847
2021-03-20,1809.0,1868.43,1800.54,1806.17,28103.51923271
2021-03-21,1806.27,1816.86,1751.0,1783.25,25867.71483636
2021-03-22,1783.25,1806.84,1654.33,1681.0,34913.71706446
2021-03-23,1681.01,1720.9,1651.24,1668.73,29847.63288221
2021-03-24,1668.36,1740.0,1541.89,1582.29,44849.7310975
2021-03-25,1582.29,1621.57,1548.74,1586.66,39954.4852387
2021-03-26,1586.22,1700.0,1585.76,1698.93,46200.50629397
2021-03-27,1698.93,1732.51,1666.36,1713.07,37900.29784943
2021-03-28,1712.77,1725.4,1661.71,1687.02,28216.11208332
2021-03-29,1687.16,1841.28,1677.73,1816.2,45654.02777247
2021-03-30,1816.44,1858.85,1787.06,1840.87,37040.12997645
2021-03-31,1840.87,1946.76,1765.0,1919.55,75951.19997005
2021-04-01,1919.56,1985.0,1882.76,1968.56,58042.84580739
2021-04-02,1968.55,2145.92,1948.21,2134.13,67731.9236184
2021-04-03,2134.12,2138.48,1966.62,2008.84,71101.24575228
2021-04-04,2008.0,2091.65,1910.0,2075.89,47545.13139457
2021-04-05,2075.89,2131.05,2002.0,2106.84,54602.586558
2021-04-06,2107.09,2152.29,2045.57,2111.03,59046.33753004
2021-04-07,2111.9,2129.48,1928.16,1963.07,110378.49012047
2021-04-08,1963.67,2084.0,1948.54,2079.96,49817.9107642
2021-04-09,2079.96,2100.7,2049.53,2066.67,43422.68588363
2021-04-10,2066.93,2198.05,2058.0,2133.73,83506.70964116
2021-04-11,2133.97,2165.0,2113.27,2151.04,46840.71873542
2021-04-12,2151.58,2201.73,2102.17,2137.61,57143.11740463
2021-04-13,2137.61,2316.86,2135.92,2299.04,81993.42208524
2021-04-14,2299.49,2447.46,2281.35,2431.83,107773.08585535
2021-04-15,2432.04,2542.68,2401.0,2514.38,71743.8262132
2021-04-16,2514.38,2546.2,2296.86,2422.41,133771.39157249
2021-04-17,2422.42,2495.01,2312.22,2317.42,90963.44482163
2021-04-18,2317.42,2338.86,1868.01,2235.73,136004.58111822
2021-04-19,2235.86,2278.32,2077.54,2160.94,152972.34543804
2021-04-20,2160.94,2346.48,2050.02,2330.76,132650.52283714
2021-04-21,2329.83,2469.87,2236.74,2355.98,155498.2779577
2021-04-22,2356.71,2647.08,2279.31,2398.18,185444.56159633
2021-04-23,2398.1,2442.66,2050.0,2367.2,173726.74546221
2021-04-24,2367.19,2368.7,2154.75,2213.11,106663.79715521
2021-04-25,2213.63,2356.53,2163.99,2320.0,93383.27123507
2021-04-26,2320.0,2542.44,2304.0,2532.41,111820.81449393
2021-04-27,2532.41,2680.0,2481.47,2665.94,68213.82800988
2021-04-28,2665.93,2760.18,2559.05,2748.66,65572.81713855
2021-04-29,2748.42,2799.0,2669.12,2758.01,72085.09530914
2021-04-30,2758.01,2798.28,2670.83,2772.16,46707.71871443
2021-05-01,2772.17,2953.82,2753.17,2945.35,36071.79222219
2021-05-02,2945.36,2983.93,2853.15,2949.39,46303.3269307
2021-05-03,2949.12,3457.42,2949.11,3429.68,104166.57581062
2021-05-04,3430.48,3527.31,3158.0,3239.61,153734.86803059
2021-05-05,3239.23,3545.7,3200.0,3524.22,122332.30130248
2021-05-06,3524.22,3606.0,3376.06,3489.11,99204.96645251
2021-05-07,3489.42,3585.0,3352.92,3479.55,98175.74604842
2021-05-08,3479.54,3958.56,3450.05,3910.4,109965.21705373
2021-05-09,3910.45,3983.29,3727.0,3923.65,122710.41708203
2021-05-10,3923.7,4208.09,3600.0,3946.44,155656.84742693
2021-05-11,3945.23,4179.28,3771.15,4173.75,140528.25485557
