datetime,open,high,low,close,volume
2022-01-01 00:00:00,0.82963,0.8528,0.82955,0.84069,11874741.13148788
2022-01-01 04:00:00,0.84089,0.84673,0.83445,0.84106,7613182.07575519
2022-01-01 08:00:00,0.84101,0.84428,0.8348,0.83856,4431844.81610118
2022-01-01 12:00:00,0.83876,0.84549,0.83845,0.84265,4929404.65966507
2022-01-01 16:00:00,0.84255,0.85574,0.84252,0.85231,8362937.52695158
2022-01-01 20:00:00,0.85231,0.85416,0.84433,0.85034,6832569.80885121
2022-01-02 00:00:00,0.85039,0.85068,0.84052,0.84385,5843704.23151894
2022-01-02 04:00:00,0.84387,0.8465,0.83691,0.84243,4765850.39225604
2022-01-02 08:00:00,0.84221,0.8488,0.83945,0.84523,3399359.80376071
2022-01-02 12:00:00,0.84525,0.86641,0.84192,0.85568,7136260.93603618
2022-01-02 16:00:00,0.85588,0.8642,0.8451,0.85136,10713672.45940598
2022-01-02 20:00:00,0.85102,0.86127,0.84973,0.8584,4878210.71973723
2022-01-03 00:00:00,0.85824,0.85873,0.84415,0.84519,5787665.23885495
2022-01-03 04:00:00,0.84467,0.8483,0.84115,0.8425,4914174.97220302
2022-01-03 08:00:00,0.84249,0.8466,0.83273,0.84467,6601291.812294
2022-01-03 12:00:00,0.84468,0.846,0.837,0.83804,7543829.16648327
2022-01-03 16:00:00,0.83801,0.84,0.82502,0.83271,8236139.84999061
2022-01-03 20:00:00,0.83271,0.83784,0.82102,0.83213,9394004.19956816
2022-01-04 00:00:00,0.83238,0.83437,0.82311,0.82734,5117627.71440418
2022-01-04 04:00:00,0.82725,0.83025,0.8213,0.82761,6019441.11271202
2022-01-04 08:00:00,0.82768,0.83767,0.8263,0.83578,5500375.05542567
2022-01-04 12:00:00,0.83581,0.84595,0.83045,0.835,8581068.67416585
2022-01-04 16:00:00,0.83497,0.8363,0.8142,0.8249,9034441.86527154
2022-01-04 20:00:00,0.82489,0.83142,0.8226,0.82275,4671736.43397716
2022-01-05 00:00:00,0.8226,0.83614,0.82093,0.83052,5812773.97643814
2022-01-05 04:00:00,0.8305,0.83419,0.8284,0.82922,5610427.2317003
2022-01-05 08:00:00,0.82921,0.83713,0.8241,0.82565,6356465.96638064
2022-01-05 12:00:00,0.82543,0.83059,0.8203,0.82736,6697687.77258903
2022-01-05 16:00:00,0.8275,0.8298,0.79,0.79806,14153461.88641848
2022-01-05 20:00:00,0.79787,0.80199,0.70815,0.77191,42046029.23830226
2022-01-06 00:00:00,0.77247,0.77914,0.74911,0.74914,17704007.58298393
2022-01-06 04:00:00,0.74937,0.76629,0.74701,0.76195,13252953.84203208
2022-01-06 08:00:00,0.76164,0.76256,0.7381,0.74835,12295918.80536549
2022-01-06 12:00:00,0.74864,0.7653,0.74222,0.76252,10105526.28023827
2022-01-06 16:00:00,0.76249,0.78203,0.76021,0.78122,10288118.39814069
2022-01-06 20:00:00,0.78139,0.79093,0.77602,0.77906,12658349.08933829
2022-01-07 00:00:00,0.77905,0.78069,0.7348,0.74481,14775218.79683557
2022-01-07 04:00:00,0.74506,0.75476,0.72809,0.75222,16957189.89430658
2022-01-07 08:00:00,0.75209,0.77689,0.74947,0.75781,12249879.13759386
2022-01-07 12:00:00,0.75789,0.76883,0.73288,0.74817,11784913.57478045
2022-01-07 16:00:00,0.74819,0.771,0.74325,0.76505,10765395.90570657
2022-01-07 20:00:00,0.76521,0.77874,0.7577,0.76328,7095661.45642298
2022-01-08 00:00:00,0.76343,0.775,0.7613,0.76863,7576283.41203604
2022-01-08 04:00:00,0.76878,0.77549,0.76706,0.77216,4303549.06089144
2022-01-08 08:00:00,0.77203,0.77663,0.76281,0.76421,5134994.3349202
2022-01-08 12:00:00,0.76443,0.76859,0.75263,0.7574,9529851.01579257
2022-01-08 16:00:00,0.75729,0.76184,0.72095,0.73039,21236296.78018786
2022-01-08 20:00:00,0.73004,0.76027,0.72622,0.74518,15104077.39002195
2022-01-09 00:00:00,0.74515,0.75691,0.741,0.75104,7949125.92499101
2022-01-09 04:00:00,0.75088,0.75816,0.74821,0.74911,4351448.4400995
2022-01-09 08:00:00,0.74903,0.7554,0.74045,0.75023,5599835.5521975
2022-01-09 12:00:00,0.75061,0.75159,0.73824,0.74287,6313281.24135066
2022-01-09 16:00:00,0.74289,0.76606,0.74194,0.76469,9875007.80737779
2022-01-09 20:00:00,0.76478,0.7668,0.75089,0.75307,7473064.83872851
2022-01-10 00:00:00,0.75306,0.75809,0.74762,0.75369,7741892.93172411
2022-01-10 04:00:00,0.75371,0.75899,0.75067,0.75164,5124593.03488976
2022-01-10 08:00:00,0.75174,0.75252,0.73941,0.74161,6884221.16013303
2022-01-10 12:00:00,0.74153,0.74314,0.69308,0.72428,27092346.64234416
2022-01-10 16:00:00,0.72441,0.74451,0.71357,0.72243,12419198.43247798
2022-01-10 20:00:00,0.72295,0.74008,0.71941,0.73966,7964713.0312906
2022-01-11 00:00:00,0.73975,0.74785,0.73251,0.74643,7005120.70076871
2022-01-11 04:00:00,0.74658,0.757,0.74358,0.74585,6261921.28696796
2022-01-11 08:00:00,0.74624,0.75058,0.73062,0.73969,6427311.78660426
2022-01-11 12:00:00,0.7395,0.7483,0.73066,0.74108,7633696.20092397
2022-01-11 16:00:00,0.74108,0.76885,0.7405,0.76319,16211604.77993462
2022-01-11 20:00:00,0.76322,0.7769,0.76261,0.76992,7349379.03776722
2022-01-12 00:00:00,0.7701,0.77994,0.76727,0.77211,7549887.82354514
2022-01-12 04:00:00,0.77225,0.7736,0.75832,0.75996,7101702.14524265
2022-01-12 08:00:00,0.75995,0.77737,0.757,0.77121,8951058.00771868
2022-01-12 12:00:00,0.77121,0.80164,0.77055,0.79172,19799750.3477913
2022-01-12 16:00:00,0.79161,0.799,0.78464,0.79727,10000680.01186829
2022-01-12 20:00:00,0.79729,0.80726,0.7936,0.7985,10024421.95433343
2022-01-13 00:00:00,0.79841,0.8033,0.7849,0.78732,9825909.34915506
2022-01-13 04:00:00,0.78732,0.7975,0.78676,0.79181,4500282.68922166
2022-01-13 08:00:00,0.79182,0.79924,0.78319,0.7838,6037527.09714851
2022-01-13 12:00:00,0.78364,0.7987,0.76848,0.77483,13789286.25145885
2022-01-13 16:00:00,0.77514,0.7807,0.7619,0.76593,11487389.29947915
2022-01-13 20:00:00,0.76576,0.773,0.76033,0.7679,7472970.33177186
2022-01-14 00:00:00,0.7676,0.77268,0.76376,0.77045,5455125.20492018
2022-01-14 04:00:00,0.77029,0.7903,0.77016,0.78079,10767308.29670688
2022-01-14 08:00:00,0.78102,0.78157,0.75347,0.75713,9562434.50568642
2022-01-14 12:00:00,0.75699,0.77799,0.75102,0.77365,10952031.12701887
2022-01-14 16:00:00,0.77375,0.77575,0.7644,0.77155,8255754.92193755
2022-01-14 20:00:00,0.77166,0.78074,0.77053,0.77323,6405365.31124683
2022-01-15 00:00:00,0.77321,0.77765,0.76997,0.77276,5395703.52493247
2022-01-15 04:00:00,0.7727,0.78027,0.76899,0.77992,4687001.7288859
2022-01-15 08:00:00,0.77991,0.78171,0.77444,0.77671,3714466.25441532
2022-01-15 12:00:00,0.77666,0.78792,0.7679,0.78635,8528836.88852953
2022-01-15 16:00:00,0.78643,0.78818,0.78181,0.78434,4600497.05268673
2022-01-15 20:00:00,0.78444,0.78972,0.779,0.77903,5583462.0948081
2022-01-16 00:00:00,0.77903,0.78108,0.77278,0.77729,5299377.51103133
2022-01-16 04:00:00,0.77742,0.78271,0.77569,0.78064,3370162.46338201
2022-01-16 08:00:00,0.78069,0.78422,0.77514,0.77657,3699832.09346191
2022-01-16 12:00:00,0.77668,0.78033,0.76765,0.77703,6061434.84093468
