datetime,open,high,low,close,volume
2022-01-01 00:00:00,109.43,112.04,108.899,109.704,54110.91032461
2022-01-01 04:00:00,109.756,111.136,108.512,110.278,34444.94246414
2022-01-01 08:00:00,110.278,110.746,108.85,109.082,21903.59799156
2022-01-01 12:00:00,109.079,110.604,109.003,109.535,35484.23432068
2022-01-01 16:00:00,109.515,114.585,109.274,112.679,76571.7269113
2022-01-01 20:00:00,112.747,114.5,112.08,114.177,45148.44583472
2022-01-02 00:00:00,114.159,117.5,113.456,117.315,89705.57600775
2022-01-02 04:00:00,117.265,117.421,114.725,115.945,53347.9087965
2022-01-02 08:00:00,115.937,116.49,115.119,115.785,49435.62934217
2022-01-02 12:00:00,115.8,116.298,113.452,114.236,57979.40240467
2022-01-02 16:00:00,114.208,115.943,112.243,112.339,66014.29759371
2022-01-02 20:00:00,112.367,113.944,112.021,113.072,41931.83601327
2022-01-03 00:00:00,113.046,114.15,110.715,110.889,58144.90673423
2022-01-03 04:00:00,110.889,113.022,110.606,111.878,33381.54282425
2022-01-03 08:00:00,111.846,112.595,110.092,111.787,42277.87145267
2022-01-03 12:00:00,111.773,113.317,110.564,110.717,60372.01844928
2022-01-03 16:00:00,110.707,111.23,107.589,108.049,97036.50059016
2022-01-03 20:00:00,108.048,109.038,106.001,108.065,74450.00786826
2022-01-04 00:00:00,108.083,108.404,105.056,105.695,65947.12016918
2022-01-04 04:00:00,105.619,106.479,105.028,106.433,46474.43649341
2022-01-04 08:00:00,106.408,107.684,105.839,107.539,37310.43137952
2022-01-04 12:00:00,107.558,109.3,106.223,107.888,75252.42466789
2022-01-04 16:00:00,107.893,108.832,103.26,103.938,93562.12303463
2022-01-04 20:00:00,103.903,105.874,102.802,103.336,60766.45898465
2022-01-05 00:00:00,103.341,106.045,102.522,105.798,53985.8800657
2022-01-05 04:00:00,105.789,106.378,104.93,105.862,36299.88497389
2022-01-05 08:00:00,105.91,106.633,104.61,104.939,43300.44480882
2022-01-05 12:00:00,104.939,105.523,103.854,105.132,51293.12957746
2022-01-05 16:00:00,105.207,105.257,97.692,98.387,111020.85914129
2022-01-05 20:00:00,98.338,99.3,90.11,97.395,211793.4117727
2022-01-06 00:00:00,97.473,97.952,92.482,92.589,70869.64946425
2022-01-06 04:00:00,92.65,95.486,91.979,95.197,75264.84150546
2022-01-06 08:00:00,95.188,95.323,91.357,91.781,44788.21995086
2022-01-06 12:00:00,91.779,95.163,91.064,94.108,60974.74289667
2022-01-06 16:00:00,94.12,96.971,93.734,96.407,41653.34004402
2022-01-06 20:00:00,96.406,96.764,94.734,95.169,48427.20173841
2022-01-07 00:00:00,95.168,95.553,86.958,87.716,94641.82481738
2022-01-07 04:00:00,87.765,89.498,85.0,88.336,91899.18948078
2022-01-07 08:00:00,88.326,90.96,87.892,90.05,43527.91655804
2022-01-07 12:00:00,90.063,91.793,86.038,87.135,67498.13198416
2022-01-07 16:00:00,87.062,89.608,85.697,88.668,52362.01726213
2022-01-07 20:00:00,88.75,89.051,86.0,86.782,39842.87298168
2022-01-08 00:00:00,86.815,88.923,85.907,87.149,43711.69590199
2022-01-08 04:00:00,87.258,88.696,87.125,88.641,28116.13590371
2022-01-08 08:00:00,88.637,89.601,86.33,86.911,42453.67336643
2022-01-08 12:00:00,86.91,87.339,82.717,83.293,66658.66178197
2022-01-08 16:00:00,83.298,83.99,79.172,80.356,118288.27745188
2022-01-08 20:00:00,80.294,85.665,80.057,83.935,82437.45007528
2022-01-09 00:00:00,83.928,86.442,82.435,85.072,62131.68174757
2022-01-09 04:00:00,85.094,85.876,84.6,84.916,20656.09168966
2022-01-09 08:00:00,84.942,85.804,83.307,85.505,37808.49765678
2022-01-09 12:00:00,85.512,86.777,83.394,86.652,48952.53381769
2022-01-09 16:00:00,86.724,91.881,86.603,91.564,119206.81529872
2022-01-09 20:00:00,91.663,91.881,87.738,89.324,72029.30965744
2022-01-10 00:00:00,89.374,90.988,87.255,89.263,56088.23080104
2022-01-10 04:00:00,89.237,91.5,88.594,89.066,54447.76207354
2022-01-10 08:00:00,89.066,89.245,86.492,86.874,45863.45878374
2022-01-10 12:00:00,86.973,87.179,80.0,83.183,133555.43238605
2022-01-10 16:00:00,83.187,85.735,81.11,83.128,114422.61222659
2022-01-10 20:00:00,83.26,84.978,82.816,84.5,48032.0565685
2022-01-11 00:00:00,84.463,86.585,83.257,86.372,66487.48663505
2022-01-11 04:00:00,86.395,86.572,85.6,86.21,30992.92860128
2022-01-11 08:00:00,86.299,87.313,84.92,85.436,33400.77173771
2022-01-11 12:00:00,85.433,87.033,84.609,86.78,53746.74857631
2022-01-11 16:00:00,86.813,90.999,86.72,89.69,105999.35451148
2022-01-11 20:00:00,89.699,90.095,88.736,89.565,45023.59595617
2022-01-12 00:00:00,89.599,89.93,88.87,89.335,43302.17570188
2022-01-12 04:00:00,89.331,92.424,89.076,90.605,66407.59683787
2022-01-12 08:00:00,90.585,95.259,90.257,94.893,94143.80530959
2022-01-12 12:00:00,94.892,96.916,94.287,95.566,108783.27365299
2022-01-12 16:00:00,95.604,96.019,93.603,94.518,74030.23717845
2022-01-12 20:00:00,94.555,96.118,93.865,95.959,76237.05100371
2022-01-13 00:00:00,95.957,96.399,92.641,93.504,66398.53968938
2022-01-13 04:00:00,93.509,94.684,93.164,94.684,60736.0150098
2022-01-13 08:00:00,94.679,95.378,93.564,93.903,71125.82351508
2022-01-13 12:00:00,93.908,97.234,92.353,93.543,130395.60720316
2022-01-13 16:00:00,93.541,94.556,90.29,91.173,86733.64761518
2022-01-13 20:00:00,91.17,91.828,89.101,89.676,70844.46158631
2022-01-14 00:00:00,89.674,90.42,88.604,89.793,61280.96200627
2022-01-14 04:00:00,89.785,91.757,89.759,90.36,57312.69756176
2022-01-14 08:00:00,90.393,90.483,87.239,88.389,76661.33892622
2022-01-14 12:00:00,88.338,90.859,87.293,90.509,87395.40484974
2022-01-14 16:00:00,90.51,90.821,89.569,90.187,86018.78616756
