datetime,open,high,low,close,volume
2022-01-01 00:00:00,169.958,172.531,169.931,172.427,5852.01267204
2022-01-01 01:00:00,172.426,174.259,171.828,172.738,7809.33656515
2022-01-01 02:00:00,172.794,173.237,172.538,172.712,1981.01932816
2022-01-01 03:00:00,172.778,173.09,172.52,172.946,5477.3020514
2022-01-01 04:00:00,173.041,173.109,171.469,171.469,3647.1667813
2022-01-01 05:00:00,171.466,174.294,171.301,173.281,6043.54824148
2022-01-01 06:00:00,173.281,173.745,172.31,172.443,5388.07214319
2022-01-01 07:00:00,172.45,173.413,172.12,173.136,4109.48541264
2022-01-01 08:00:00,173.084,173.329,172.697,172.864,3753.00297123
2022-01-01 09:00:00,172.896,173.237,172.179,172.714,2154.82803306
2022-01-01 10:00:00,172.699,173.284,170.754,171.828,3884.15570614
2022-01-01 11:00:00,171.91,172.606,171.518,171.518,1798.65419121
2022-01-01 12:00:00,171.597,172.92,171.464,172.762,1264.18268114
2022-01-01 13:00:00,172.859,173.091,172.443,172.662,2480.07128912
2022-01-01 14:00:00,172.709,172.951,172.022,172.536,2283.787965
2022-01-01 15:00:00,172.519,174.141,172.27,173.914,3901.22741831
2022-01-01 16:00:00,173.876,174.934,173.634,173.651,6168.66163059
2022-01-01 17:00:00,173.738,175.456,173.571,175.002,4722.06169929
2022-01-01 18:00:00,175.094,175.583,174.705,175.424,4036.62768949
2022-01-01 19:00:00,175.538,177.304,175.498,177.304,8196.63095319
2022-01-01 20:00:00,177.304,179.214,176.722,177.719,8718.48075913
2022-01-01 21:00:00,177.705,178.83,176.14,176.331,7249.74908695
2022-01-01 22:00:00,176.413,177.512,176.291,177.308,6310.10947411
2022-01-01 23:00:00,177.308,179.072,177.021,179.072,6571.15510079
2022-01-02 00:00:00,179.069,179.499,177.783,178.544,10290.16868377
2022-01-02 01:00:00,178.546,178.995,177.709,177.94,4742.51515148
2022-01-02 02:00:00,177.88,178.783,177.791,178.357,3280.27666705
2022-01-02 03:00:00,178.336,178.752,177.012,177.709,5877.47326321
2022-01-02 04:00:00,177.664,178.076,175.137,175.887,8021.94818554
2022-01-02 05:00:00,175.781,176.717,175.626,176.632,10540.9855646
2022-01-02 06:00:00,176.647,176.78,175.801,175.856,4765.7638385
2022-01-02 07:00:00,175.838,176.48,175.594,175.838,1917.76493817
2022-01-02 08:00:00,175.819,175.952,174.544,175.059,5838.03430499
2022-01-02 09:00:00,175.082,176.163,174.682,175.773,3950.31986041
2022-01-02 10:00:00,175.708,176.036,175.22,175.288,1775.22145343
2022-01-02 11:00:00,175.338,176.2,175.233,175.624,1825.08777697
2022-01-02 12:00:00,175.652,176.746,175.016,175.899,4191.29056263
2022-01-02 13:00:00,175.961,176.179,175.506,175.979,2001.20297479
2022-01-02 14:00:00,175.915,176.274,175.253,175.395,2590.86605083
2022-01-02 15:00:00,175.384,176.227,175.047,176.227,4278.43216267
2022-01-02 16:00:00,176.189,178.003,176.179,177.96,8466.42468551
2022-01-02 17:00:00,177.97,178.694,177.269,177.749,8879.57392621
2022-01-02 18:00:00,177.697,177.745,174.307,175.844,13274.31203366
2022-01-02 19:00:00,175.786,176.343,174.827,175.374,4657.43651434
2022-01-02 20:00:00,175.287,175.8,174.731,175.705,4306.15272832
2022-01-02 21:00:00,175.686,176.039,175.204,175.683,5040.59936117
2022-01-02 22:00:00,175.686,176.928,175.686,176.865,5505.72704417
2022-01-02 23:00:00,176.889,177.144,175.863,176.296,3989.70507525
2022-01-03 00:00:00,176.296,176.414,175.082,175.29,2767.5877707
2022-01-03 01:00:00,175.3,175.3,174.152,174.743,3733.28641684
2022-01-03 02:00:00,174.715,174.715,173.186,173.428,6371.15825374
2022-01-03 03:00:00,173.366,173.692,172.124,172.803,5170.91100386
2022-01-03 04:00:00,172.782,173.237,172.062,172.147,5414.97065387
2022-01-03 05:00:00,172.146,173.826,172.057,173.504,4834.32755459
2022-01-03 06:00:00,173.48,173.579,172.791,173.195,3714.71722567
2022-01-03 07:00:00,173.228,173.228,172.508,173.128,3044.94735811
2022-01-03 08:00:00,173.085,173.491,172.685,172.978,2592.30988688
2022-01-03 09:00:00,173.003,173.378,172.349,173.248,2494.24240529
2022-01-03 10:00:00,173.248,174.552,173.248,174.1,3065.1233525
2022-01-03 11:00:00,174.081,175.0,174.041,174.778,4948.9841257
2022-01-03 12:00:00,174.777,175.024,173.89,173.897,5106.97383668
2022-01-03 13:00:00,173.942,175.415,173.942,174.775,5852.75722007
2022-01-03 14:00:00,174.729,175.838,173.931,173.987,8653.53358091
2022-01-03 15:00:00,174.022,174.545,170.863,171.031,10574.72256866
2022-01-03 16:00:00,170.99,171.367,168.922,170.233,19041.0093303
2022-01-03 17:00:00,170.144,171.696,169.922,170.656,7244.2290582
2022-01-03 18:00:00,170.657,171.362,170.524,170.709,6245.4609245
2022-01-03 19:00:00,170.671,170.85,170.0,170.0,5042.33942249
2022-01-03 20:00:00,170.0,170.119,166.597,168.553,16300.88670494
2022-01-03 21:00:00,168.571,169.976,168.002,169.074,9383.37284595
2022-01-03 22:00:00,169.03,170.6,168.591,170.1,8872.37456551
2022-01-03 23:00:00,170.076,171.03,169.564,170.05,7311.61930787
2022-01-04 00:00:00,170.146,170.394,168.138,168.469,11011.54069295
2022-01-04 01:00:00,168.459,169.544,167.82,167.844,7961.2392343
2022-01-04 02:00:00,167.844,168.316,166.882,167.667,6847.47171741
2022-01-04 03:00:00,167.629,168.128,166.996,167.819,5630.23138216
2022-01-04 04:00:00,167.787,168.286,166.305,166.729,6375.8573796
2022-01-04 05:00:00,166.718,168.173,166.542,167.526,6304.0527946
2022-01-04 06:00:00,167.472,168.146,167.061,167.982,3755.97858884
2022-01-04 07:00:00,167.983,169.16,167.527,169.111,7863.45679261
2022-01-04 08:00:00,169.093,169.661,168.366,168.624,7325.8647604
2022-01-04 09:00:00,168.659,169.0,167.524,167.845,5853.24712633
2022-01-04 10:00:00,167.858,170.358,167.306,169.924,7815.96732097
2022-01-04 11:00:00,169.937,172.22,169.937,171.629,7554.07886428
2022-01-04 12:00:00,171.653,171.948,170.507,171.698,8870.77637395
2022-01-04 13:00:00,171.698,172.257,170.724,171.545,9066.22252103
2022-01-04 14:00:00,171.561,173.338,171.255,173.03,10556.40717827
2022-01-04 15:00:00,173.035,173.828,171.485,172.111,9959.21413191
2022-01-04 16:00:00,172.15,172.446,170.94,171.45,9302.74452904
2022-01-04 17:00:00,171.455,171.75,170.047,170.116,5207.07820335
2022-01-04 18:00:00,170.134,170.889,167.001,167.553,10872.63845564
2022-01-04 19:00:00,167.445,169.557,167.096,168.579,13002.71764459
2022-01-04 20:00:00,168.613,169.534,168.097,168.682,5204.42478187
2022-01-04 21:00:00,168.722,169.297,168.248,169.144,5626.04949644
2022-01-04 22:00:00,169.116,169.198,168.095,168.882,5821.26569296
2022-01-04 23:00:00,168.882,168.95,167.427,167.75,5136.55154008
2022-01-05 00:00:00,167.694,168.978,167.174,168.917,5416.93310772
2022-01-05 01:00:00,168.893,168.893,167.268,167.328,5776.75878023
2022-01-05 02:00:00,167.324,168.58,167.313,168.539,3929.86459388
2022-01-05 03:00:00,168.418,169.301,168.4,169.17,5256.81802184
2022-01-05 04:00:00,169.178,169.335,168.25,168.671,6083.83499098
